TripID,DepartureLocationCountry,DepartureLocationCity,ArrivalLocationCountry,ArrivalLocationCity,ShippingType,ShippingTypeDescription,Purpose,OutOfPolicy,EntitiyCode,EmployeeNumber,BusinessUnit,HotelNights,NetCosts,Departure_CO2e,Return_CO2e,Hotel_CO2e,Spend_CO2e,TotalCO2e,HighCarbon
10492,BR,Ṣo Paulo,US,Miami,10,Economy Flight,Conference/Exhibition,No,8000,M1067-M5524,Sales,3,300,931.1466752,931.1466752,48.3,236.4634387,1910.59335,0
10493,US,New York,CA,Toronto,14,Volkswagen Golf diesel,Conference/Exhibition,Yes,9000,M1067-M5527,Sales,3,3150,172.195296,173.4034848,22.2,880.3602087,367.7987808,0
10496,AU,Sydney,DE,Frankfurt,12,Business Class Flight,Customer Visit,No,8000,M1067-M5534,Services,2,3000,6776.567059,6776.567059,26.4,1659.182317,13579.53412,1
10497,DE,Berlin,FR,Paris,12,Business Class Flight,Customer Visit,No,7000,M1067-M5537,Customer Support,2,750,196.2627035,196.2627035,13.4,726.7739696,405.925407,0
10498,BR,Ṣo Paulo,AR,Buenos Aires,12,Business Class Flight,Customer Visit,No,7000,M1067-M5538,Executive Management,5,1500,376.8228857,376.8228857,280,39.02294282,1033.645771,0
10499,AU,Sydney,US,Los Angeles,10,Economy Flight,Conference/Exhibition,No,9000,M1067-M5541,Operations,3,3150,1708.458757,1708.458757,48.3,2482.866107,3465.217514,0
10500,CN,Beijing,IN,New Delhi,14,Volkswagen Golf diesel,Conference/Exhibition,No,9000,M1067-M5544,Marketing,5,450,1261.4784,1261.4784,294.5,211.8054718,2817.4568,0
10501,AU,Sydney,CN,Beijing,10,Economy Flight,Conference/Exhibition,No,10000,M1067-M5545,Marketing,3,900,1269.822033,1269.822033,160.5,1305.346209,2700.144066,0
10502,DE,Berlin,ES,Madrid,12,Business Class Flight,Customer Visit,Yes,7000,M1067-M5553,Ecosystem,2,3000,411.5677048,411.5677048,14,3154.25559,837.1354096,0
10503,CN,Beijing,RU,Moscow,13,BMW 3 diesel,Internal Business Trip,Yes,6000,M1068-M5001,Marketing,1,2850,2047.53958,2047.53958,24.2,1317.970242,4119.27916,1
10505,DE,Berlin,FR,Paris,12,Business Class Flight,Conference/Exhibition,No,7000,M1068-M5008,Sales,2,750,196.2627035,196.2627035,13.4,726.7739696,405.925407,0
10506,BR,Ṣo Paulo,ZA,Johannesburg,10,Economy Flight,Enablement,No,6000,M1068-M5010,Sales,1,300,1053.713528,1053.713528,51.4,495.7641457,2158.827056,0
10507,AU,Sydney,US,Los Angeles,10,Economy Flight,Conference/Exhibition,No,10000,M1068-M5011,Customer Support,4,3000,1708.458757,1708.458757,64.4,2364.634387,3481.317514,1
10508,DE,Berlin,ES,Madrid,14,Volkswagen Golf diesel,Enablement,No,9000,M1068-M5012,Marketing,4,1200,507.5120232,523.6552776,28,240.4741687,1059.167301,0
10509,US,New York,MX,Mexico City,12,Business Class Flight,Customer Visit,No,6000,M1068-M5016,Sales,5,3600,743.2958481,743.2958481,96.5,2921.504761,1583.091696,0
10510,CN,Beijing,RU,Moscow,12,Business Class Flight,Conference/Exhibition,No,9000,M1068-M5017,Sales,2,900,2380.449255,2380.449255,48.4,1133.798915,4809.29851,1
10511,AU,Sydney,US,Los Angeles,12,Business Class Flight,Enablement,Yes,9000,M1068-M5017,Services,1,2850,4954.349478,4954.349478,16.1,2246.402668,9924.798956,1
10512,BR,Ṣo Paulo,US,Miami,10,Economy Flight,Customer Visit,No,6000,M1068-M5021,Services,3,3000,931.1466752,931.1466752,48.3,2364.634387,1910.59335,0
10513,CN,Beijing,RU,Moscow,13,BMW 3 diesel,Customer Visit,Yes,9000,M1068-M5023,Marketing,5,1500,2047.53958,2047.53958,121,693.6685486,4216.07916,1
10514,DE,Berlin,FR,Paris,12,Business Class Flight,Customer Visit,No,10000,M1068-M5024,Customer Support,2,3150,196.2627035,196.2627035,13.4,3052.450672,405.925407,0
10515,AU,Sydney,US,Los Angeles,10,Economy Flight,Customer Visit,No,6000,M1068-M5026,Ecosystem,6,1500,1708.458757,1708.458757,96.6,1182.317194,3513.517514,1
10516,DE,Berlin,GB,London,12,Business Class Flight,Customer Visit,No,10000,M1068-M5028,Value Engineering,1,1800,213.7416528,213.7416528,10.4,1522.550324,437.8833056,0
10517,AU,Sydney,US,Los Angeles,10,Economy Flight,Conference/Exhibition,No,6000,M1068-M5038,Value Engineering,3,300,1708.458757,1708.458757,48.3,236.4634387,3465.217514,0
10518,BR,Ṣo Paulo,US,Miami,10,Economy Flight,Conference/Exhibition,No,9000,M1068-M5039,Ecosystem,2,3450,931.1466752,931.1466752,32.2,2719.329545,1894.49335,0
10520,AU,Sydney,US,Los Angeles,10,Economy Flight,Conference/Exhibition,No,10000,M1068-M5049,Customer Support,3,450,1708.458757,1708.458757,48.3,354.6951581,3465.217514,0
10521,BR,Ṣo Paulo,PT,Lisbon,10,Economy Flight,Internal Business Trip,No,6000,M1068-M5055,Marketing,5,3000,1123.944467,1123.944467,95,2959.107841,2342.888934,0
10523,AU,Sydney,DE,Frankfurt,10,Economy Flight,Customer Visit,No,7000,M1068-M5060,Sales,4,2550,2336.832592,2336.832592,52.8,1410.304969,4726.465184,1
10525,CN,Beijing,IN,New Delhi,13,BMW 3 diesel,Enablement,No,6000,M1068-M5069,Customer Support,3,2700,1642.80992,1642.80992,176.7,1270.832831,3462.31984,0
10526,BR,Ṣo Paulo,US,Miami,10,Economy Flight,Customer Visit,No,7000,M1068-M5069,Sales,3,3000,931.1466752,931.1466752,48.3,2364.634387,1910.59335,0
10527,BR,Ṣo Paulo,ZA,Johannesburg,10,Economy Flight,Conference/Exhibition,No,7000,M1068-M5073,Customer Support,1,2400,1053.713528,1053.713528,51.4,3966.113166,2158.827056,0
10530,DE,Berlin,GB,London,12,Business Class Flight,Customer Visit,Yes,8000,M1068-M5078,Executive Management,3,1350,213.7416528,213.7416528,31.2,1141.912743,458.6833056,0
10531,BR,Ṣo Paulo,PT,Lisbon,10,Economy Flight,Customer Visit,No,6000,M1068-M5079,Services,3,1500,1123.944467,1123.944467,57,1479.55392,2304.888934,0
10532,BR,Ṣo Paulo,ZA,Johannesburg,12,Business Class Flight,Customer Visit,No,8000,M1068-M5080,Executive Management,5,450,3055.657648,3055.657648,257,743.6462186,6368.315296,1
10533,DE,Berlin,FR,Paris,13,BMW 3 diesel,Customer Visit,No,7000,M1068-M5082,Sales,5,450,299.9971146,299.9166237,33.5,0,633.4137383,0
10534,BR,Ṣo Paulo,AR,Buenos Aires,14,Volkswagen Golf diesel,Conference/Exhibition,No,8000,M1068-M5084,Value Engineering,2,1800,486.81906,482.5980432,112,24.93437106,1081.417103,0
10535,AU,Sydney,US,Los Angeles,12,Business Class Flight,Conference/Exhibition,Yes,7000,M1068-M5084,Sales,2,1950,4954.349478,4954.349478,32.2,1537.012352,9940.898956,1
10537,DE,Berlin,NL,Amsterdam,14,Volkswagen Golf diesel,Conference/Exhibition,No,9000,M1068-M5085,Value Engineering,3,3000,143.2837224,144.9568848,44.4,487.3991463,332.6406072,0
10538,US,New York,JP,Tokyo,14,Volkswagen Golf diesel,Enablement,No,7000,M1068-M5087,Customer Support,2,2850,0,0,78,516.0142883,78,0
10542,DE,Berlin,GB,London,12,Business Class Flight,Customer Visit,No,6000,M1068-M5093,Ecosystem,3,1800,213.7416528,213.7416528,31.2,1522.550324,458.6833056,0
10543,CN,Beijing,IN,New Delhi,12,Business Class Flight,Customer Visit,Yes,7000,M1068-M5096,Services,3,2250,1565.121857,1565.121857,176.7,3680.698144,3306.943714,0
10544,CN,Beijing,GB,London,16,BMW 3 plugin hybrid,Customer Visit,No,7000,M1068-M5096,Sales,2,450,2871.50432,2871.50432,20.8,0,5763.80864,1
10546,AU,Sydney,DE,Frankfurt,10,Economy Flight,Conference/Exhibition,No,9000,M1068-M5097,Services,2,2850,2336.832592,2336.832592,26.4,1576.223201,4700.065184,1
10548,CN,Beijing,IN,New Delhi,10,Economy Flight,Customer Visit,No,7000,M1068-M5117,Marketing,3,3600,539.7168999,539.7168999,176.7,5889.11703,1256.1338,0
10550,ZA,Cape Town,ZA,Johannesburg,16,BMW 3 plugin hybrid,Customer Visit,No,7000,M1068-M5124,Sales,5,3000,395.3378272,395.7721365,257,1285.042174,1048.109964,0
10555,BR,Ṣo Paulo,ZA,Johannesburg,10,Economy Flight,Conference/Exhibition,No,6000,M1068-M5131,Operations,1,2100,1053.713528,1053.713528,51.4,3470.34902,2158.827056,0
10556,DE,Berlin,IT,Rome,4,Train,Customer Visit,No,6000,M1068-M5131,Sales,3,2550,44.06985417,42.64448067,42.9,835.8821408,129.6143348,0
10558,US,New York,MX,Mexico City,13,BMW 3 diesel,Conference/Exhibition,Yes,8000,M1068-M5132,Executive Management,3,300,1176.769263,1177.127347,57.9,40.195697,2411.79661,0
10559,CN,Beijing,RU,Moscow,10,Economy Flight,Internal Business Trip,No,7000,M1068-M5133,Services,3,450,820.8745452,820.8745452,72.6,566.8994575,1714.34909,0
10560,CN,Beijing,IN,New Delhi,10,Economy Flight,Customer Visit,No,9000,M1068-M5134,Ecosystem,2,1800,539.7168999,539.7168999,117.8,2944.558515,1197.2338,0
10561,CN,Beijing,IN,New Delhi,10,Economy Flight,Conference/Exhibition,No,8000,M1068-M5135,Services,6,1800,539.7168999,539.7168999,353.4,2944.558515,1432.8338,0
10562,CN,Beijing,IN,New Delhi,10,Economy Flight,Enablement,No,8000,M1068-M5136,Operations,3,2550,539.7168999,539.7168999,176.7,4171.457896,1256.1338,0
10563,AU,Sydney,DE,Frankfurt,10,Economy Flight,Customer Visit,No,6000,M1068-M5136,Sales,2,2700,2336.832592,2336.832592,26.4,1493.264085,4700.065184,1
10565,AU,Sydney,SG,Singapore,10,Economy Flight,Customer Visit,No,8000,M1068-M5140,Customer Support,1,1800,891.4661434,891.4661434,24.5,2164.85949,1807.432287,0
10568,DE,Berlin,ES,Madrid,12,Business Class Flight,Customer Visit,Yes,10000,M1068-M5145,Customer Support,3,2400,411.5677048,411.5677048,21,2523.404472,844.1354096,0
10569,AU,Sydney,SG,Singapore,10,Economy Flight,Customer Visit,No,7000,M1068-M5146,Value Engineering,5,2700,891.4661434,891.4661434,122.5,3247.289235,1905.432287,0
10570,AU,Sydney,DE,Frankfurt,12,Business Class Flight,Partner Visit,No,9000,M1068-M5146,Sales,3,3750,6776.567059,6776.567059,39.6,2073.977896,13592.73412,1
10571,AU,Sydney,CN,Beijing,4,Train,Conference/Exhibition,No,7000,M1068-M5149,Executive Management,5,450,532.2308159,476.647679,267.5,474.578062,1276.378495,0
10572,AU,Sydney,US,Los Angeles,10,Economy Flight,Conference/Exhibition,No,10000,M1068-M5156,Marketing,6,900,1708.458757,1708.458757,96.6,709.3903162,3513.517514,1
10574,AU,Sydney,DE,Frankfurt,10,Economy Flight,Conference/Exhibition,No,7000,M1068-M5162,Sales,5,2400,2336.832592,2336.832592,66,1327.345854,4739.665184,1
10575,ZA,Cape Town,ZA,Johannesburg,13,BMW 3 diesel,Conference/Exhibition,No,9000,M1068-M5168,Sales,5,3000,395.3378272,395.7721365,257,1285.042174,1048.109964,0
10576,AU,Sydney,DE,Frankfurt,10,Economy Flight,Conference/Exhibition,No,10000,M1068-M5168,Sales,4,1800,2336.832592,2336.832592,52.8,995.5093902,4726.465184,1
10577,AU,Sydney,AU,Brisbane,14,Volkswagen Golf diesel,Customer Visit,No,8000,M1068-M5175,Executive Management,5,2400,199.45926,199.5385392,175,619.2883887,573.9977992,0
10578,BR,Ṣo Paulo,US,Miami,10,Economy Flight,Customer Visit,No,8000,M1068-M5175,Marketing,1,900,931.1466752,931.1466752,16.1,709.3903162,1878.39335,0
10579,US,New York,MX,Mexico City,16,BMW 3 plugin hybrid,Customer Visit,No,7000,M1068-M5181,Executive Management,2,2700,1176.769263,1177.127347,38.6,361.761273,2392.49661,0
10580,MX,Mexico City,US,Miami,14,Volkswagen Golf diesel,Customer Visit,No,6000,M1068-M5185,Marketing,4,2400,747.571188,747.6059136,64.4,249.511657,1559.577102,0
10582,BR,Ṣo Paulo,US,Miami,10,Economy Flight,Enablement,No,8000,M1068-M5187,Sales,5,300,931.1466752,931.1466752,80.5,236.4634387,1942.79335,0
10583,AU,Sydney,DE,Frankfurt,10,Economy Flight,Customer Visit,No,8000,M1068-M5187,Marketing,2,3600,2336.832592,2336.832592,26.4,1991.01878,4700.065184,1
10584,AU,Sydney,US,Los Angeles,12,Business Class Flight,Customer Visit,No,7000,M1068-M5188,Marketing,6,3000,4954.349478,4954.349478,96.6,2364.634387,10005.29896,1
10585,CN,Beijing,RU,Moscow,13,BMW 3 diesel,Customer Visit,Yes,10000,M1068-M5195,Sales,3,450,2047.53958,2047.53958,72.6,208.1005646,4167.67916,1
10586,AU,Sydney,DE,Frankfurt,12,Business Class Flight,Conference/Exhibition,No,7000,M1068-M5196,Operations,2,1200,6776.567059,6776.567059,26.4,663.6729268,13579.53412,1
10587,AU,Sydney,SG,Singapore,10,Economy Flight,Partner Visit,No,10000,M1068-M5199,Operations,2,3000,891.4661434,891.4661434,49,3608.09915,1831.932287,0
10588,CN,Beijing,AU,Sydney,12,Business Class Flight,Customer Visit,Yes,10000,M1068-M5202,Value Engineering,4,1800,3682.349429,3682.349429,140,2162.115328,7504.698858,1
10589,CN,Beijing,US,New York,12,Business Class Flight,Conference/Exhibition,No,9000,M1068-M5204,Office Management,3,450,4505.274479,4505.274479,48.3,354.6951581,9058.848958,1
10590,CN,Beijing,IN,New Delhi,4,Train,Internal Business Trip,No,7000,M1068-M5206,Sales,2,3000,236.6405508,324.046749,117.8,2043.44493,678.4872998,0
10591,AU,Sydney,US,Los Angeles,10,Economy Flight,Internal Business Trip,No,6000,M1068-M5210,Executive Management,4,1200,1708.458757,1708.458757,64.4,945.8537549,3481.317514,1
10592,CN,Beijing,IN,New Delhi,4,Train,Customer Visit,No,10000,M1068-M5210,Value Engineering,4,450,236.6405508,324.046749,235.6,306.5167395,796.2872998,0
10593,AU,Sydney,SG,Singapore,10,Economy Flight,Conference/Exhibition,No,9000,M1068-M5211,Sales,3,2550,891.4661434,891.4661434,73.5,3066.884277,1856.432287,0
10594,AU,Sydney,US,Los Angeles,12,Business Class Flight,Conference/Exhibition,Yes,9000,M1068-M5220,Customer Support,5,750,4954.349478,4954.349478,80.5,591.1585968,9989.198956,1
10595,US,New York,CA,Toronto,13,BMW 3 diesel,Conference/Exhibition,No,9000,M1068-M5221,Sales,1,300,224.2481048,225.8215162,7.4,83.8438294,457.469621,0
10596,AU,Sydney,US,Los Angeles,10,Economy Flight,Customer Visit,No,6000,M1068-M5232,Services,3,450,1708.458757,1708.458757,48.3,354.6951581,3465.217514,0
10597,US,New York,CA,Toronto,13,BMW 3 diesel,Customer Visit,Yes,8000,M1068-M5234,Sales,1,450,224.2481048,225.8215162,7.4,125.7657441,457.469621,0
10599,DE,Berlin,NL,Amsterdam,13,BMW 3 diesel,Customer Visit,No,8000,M1068-M5239,Customer Support,1,3450,186.5968696,188.7758112,14.8,560.5090182,390.1726808,0
10600,AU,Sydney,SG,Singapore,10,Economy Flight,Customer Visit,No,7000,M1068-M5241,Executive Management,1,300,891.4661434,891.4661434,24.5,360.809915,1807.432287,0
10601,AU,Sydney,US,Los Angeles,10,Economy Flight,Conference/Exhibition,No,10000,M1068-M5241,Executive Management,1,450,1708.458757,1708.458757,16.1,354.6951581,3433.017514,0
10602,US,New York,CA,Toronto,4,Train,Partner Visit,No,7000,M1068-M5243,Executive Management,1,3600,66.5095663,66.39576842,7.4,3592.179815,140.3053347,0
10603,BR,Ṣo Paulo,PT,Lisbon,12,Business Class Flight,Customer Visit,No,6000,M1068-M5243,Marketing,3,1500,3259.319934,3259.319934,57,1479.55392,6575.639868,1
10604,BR,Ṣo Paulo,AR,Buenos Aires,12,Business Class Flight,Customer Visit,Yes,10000,M1068-M5243,Marketing,3,1800,376.8228857,376.8228857,168,46.82753139,921.6457714,0
10605,DE,Hamburg,DE,Berlin,13,BMW 3 diesel,Conference/Exhibition,No,10000,M1068-M5249,Customer Support,4,300,82.98636108,81.22779222,52.8,26.08093765,217.0141533,0
10606,US,New York,MX,Mexico City,4,Train,Internal Business Trip,No,8000,M1068-M5252,Sales,4,1800,310.7797615,310.8743301,77.2,6673.597103,698.8540916,0
10607,BR,Ṣo Paulo,US,Miami,10,Economy Flight,Partner Visit,No,9000,M1068-M5259,Executive Management,1,2100,931.1466752,931.1466752,16.1,1655.244071,1878.39335,0
10610,DE,Berlin,IT,Rome,13,BMW 3 diesel,Customer Visit,Yes,6000,M1068-M5265,Sales,5,2400,426.8362045,427.2062349,71.5,329.0087365,925.5424394,0
10611,DE,Berlin,FR,Paris,12,Business Class Flight,Customer Visit,No,6000,M1068-M5266,Marketing,6,450,196.2627035,196.2627035,40.2,436.0643818,432.725407,0
10613,DE,Berlin,IT,Rome,14,Volkswagen Golf diesel,Conference/Exhibition,No,7000,M1068-M5269,Value Engineering,4,1200,327.75834,328.0424784,57.2,164.5043683,713.0008184,0
10614,CN,Beijing,RU,Moscow,14,Volkswagen Golf diesel,Conference/Exhibition,No,9000,M1068-M5270,Ecosystem,4,2700,1572.2616,1572.2616,96.8,1248.603388,3241.3232,0
10615,AU,Sydney,DE,Frankfurt,10,Economy Flight,Internal Business Trip,No,8000,M1068-M5271,Sales,1,1200,2336.832592,2336.832592,13.2,663.6729268,4686.865184,1
10616,US,New York,MX,Mexico City,14,Volkswagen Golf diesel,Enablement,Yes,6000,M1068-M5271,Sales,4,1800,903.615804,903.8907696,77.2,241.174182,1884.706574,0
10618,AU,Sydney,US,Los Angeles,12,Business Class Flight,Customer Visit,Yes,6000,M1068-M5276,Customer Support,6,3000,4954.349478,4954.349478,96.6,2364.634387,10005.29896,1
10622,DE,Berlin,FR,Paris,12,Business Class Flight,Customer Visit,Yes,9000,M1068-M5288,Marketing,4,450,196.2627035,196.2627035,26.8,436.0643818,419.325407,0
10624,CN,Beijing,RU,Moscow,12,Business Class Flight,Customer Visit,Yes,7000,M1068-M5294,Sales,3,1500,2380.449255,2380.449255,72.6,1889.664858,4833.49851,1
10625,BR,Ṣo Paulo,US,Miami,10,Economy Flight,Enablement,No,8000,M1068-M5296,Marketing,1,1800,931.1466752,931.1466752,16.1,1418.780632,1878.39335,0
10626,AU,Sydney,SG,Singapore,10,Economy Flight,Customer Visit,No,7000,M1068-M5296,Marketing,2,2250,891.4661434,891.4661434,49,2706.074362,1831.932287,0
10628,AU,Sydney,US,Los Angeles,12,Business Class Flight,Customer Visit,No,9000,M1068-M5304,Ecosystem,6,3000,4954.349478,4954.349478,96.6,2364.634387,10005.29896,1
10631,AU,Sydney,AU,Brisbane,15,Volkswagen Golf petrol,Customer Visit,No,8000,M1068-M5306,Marketing,2,1500,199.45926,199.5385392,70,387.055243,468.9977992,0
10632,AU,Sydney,SG,Singapore,10,Economy Flight,Customer Visit,No,10000,M1068-M5310,Product Management,4,450,891.4661434,891.4661434,98,541.2148724,1880.932287,0
10633,BR,Ṣo Paulo,US,Miami,10,Economy Flight,Partner Visit,No,7000,M1068-M5313,Marketing,3,2700,931.1466752,931.1466752,48.3,2128.170949,1910.59335,0
10634,AU,Sydney,DE,Frankfurt,12,Business Class Flight,Enablement,No,9000,M1068-M5315,Operations,3,900,6776.567059,6776.567059,39.6,497.7546951,13592.73412,1
10635,CN,Beijing,IN,New Delhi,17,Fiat 500 electric,Conference/Exhibition,No,9000,M1068-M5315,Sales,2,3150,1048.80608,1048.80608,117.8,1482.638302,2215.41216,0
10636,DE,Berlin,ES,Madrid,15,Volkswagen Golf petrol,Customer Visit,No,6000,M1068-M5316,Sales,4,3000,507.5120232,523.6552776,28,601.1854217,1059.167301,0
10637,AU,Sydney,DE,Frankfurt,12,Business Class Flight,Customer Visit,No,8000,M1068-M5317,Marketing,3,750,6776.567059,6776.567059,39.6,414.7955793,13592.73412,1
10638,MX,Mexico City,US,Miami,14,Volkswagen Golf diesel,Internal Business Trip,No,7000,M1068-M5317,Office Management,3,2850,747.571188,747.6059136,48.3,296.2950926,1543.477102,0
10639,DE,Berlin,FR,Paris,12,Business Class Flight,Customer Visit,No,9000,M1068-M5322,Customer Support,2,450,196.2627035,196.2627035,13.4,436.0643818,405.925407,0
10640,US,New York,MX,Mexico City,12,Business Class Flight,Customer Visit,Yes,10000,M1068-M5323,Sales,5,1500,743.2958481,743.2958481,96.5,1217.29365,1583.091696,0
10642,DE,Berlin,ES,Madrid,12,Business Class Flight,Enablement,No,6000,M1068-M5335,Legal,3,1350,411.5677048,411.5677048,21,1419.415016,844.1354096,0
10643,AU,Sydney,US,Los Angeles,10,Economy Flight,Customer Visit,No,9000,M1068-M5336,Sales,2,2700,1708.458757,1708.458757,32.2,2128.170949,3449.117514,0
10644,BR,Ṣo Paulo,US,Miami,10,Economy Flight,Customer Visit,Yes,8000,M1068-M5337,Executive Management,2,3300,931.1466752,931.1466752,32.2,2601.097826,1894.49335,0
10645,AU,Sydney,US,Los Angeles,10,Economy Flight,Customer Visit,No,7000,M1068-M5338,Executive Management,2,2700,1708.458757,1708.458757,32.2,2128.170949,3449.117514,0
10646,ZA,Cape Town,ZA,Johannesburg,17,Fiat 500 electric,Conference/Exhibition,No,7000,M1068-M5338,Legal,3,3150,252.3923868,252.6696595,154.2,1349.294283,659.2620463,0
10647,DE,Berlin,NL,Amsterdam,16,BMW 3 plugin hybrid,Enablement,No,10000,M1068-M5338,Ecosystem,2,900,186.5968696,188.7758112,29.6,146.2197439,404.9726808,0
10648,US,New York,MX,Mexico City,12,Business Class Flight,Internal Business Trip,No,7000,M1068-M5339,Sales,3,2700,743.2958481,743.2958481,57.9,2191.12857,1544.491696,0
10651,CN,Beijing,IN,New Delhi,10,Economy Flight,Internal Business Trip,No,10000,M1068-M5346,Value Engineering,3,1350,539.7168999,539.7168999,176.7,2208.418886,1256.1338,0
10652,US,New York,CA,Toronto,17,Fiat 500 electric,Customer Visit,No,8000,M1068-M5349,Sales,2,450,143.1649352,144.1694358,14.8,125.7657441,302.134371,0
10653,AU,Sydney,SG,Singapore,10,Economy Flight,Customer Visit,No,6000,M1068-M5349,Office Management,2,2400,891.4661434,891.4661434,49,2886.47932,1831.932287,0
10654,CN,Beijing,IN,New Delhi,14,Volkswagen Golf diesel,Conference/Exhibition,Yes,6000,M1068-M5356,Executive Management,2,3600,1261.4784,1261.4784,117.8,1694.443774,2640.7568,0
10656,AU,Sydney,DE,Frankfurt,10,Economy Flight,Customer Visit,No,6000,M1068-M5359,Marketing,5,3150,2336.832592,2336.832592,66,1742.141433,4739.665184,1
10657,AU,Sydney,US,Los Angeles,10,Economy Flight,Conference/Exhibition,No,8000,M1068-M5360,Marketing,2,3000,1708.458757,1708.458757,32.2,2364.634387,3449.117514,0
10658,BR,Ṣo Paulo,ZA,Johannesburg,10,Economy Flight,Internal Business Trip,No,9000,M1068-M5362,Executive Management,3,450,1053.713528,1053.713528,154.2,743.6462186,2261.627056,0
10659,CN,Beijing,RU,Moscow,12,Business Class Flight,Customer Visit,Yes,7000,M1068-M5363,Finance,4,1500,2380.449255,2380.449255,96.8,1889.664858,4857.69851,1
10660,BR,Ṣo Paulo,US,Miami,10,Economy Flight,Conference/Exhibition,No,10000,M1068-M5364,Sales,3,2700,931.1466752,931.1466752,48.3,2128.170949,1910.59335,0
10661,CN,Beijing,RU,Moscow,15,Volkswagen Golf petrol,Conference/Exhibition,No,8000,M1068-M5364,Sales,3,3000,1572.2616,1572.2616,72.6,1387.337097,3217.1232,0
10664,AU,Sydney,DE,Frankfurt,10,Economy Flight,Conference/Exhibition,No,9000,M1068-M5366,Office Management,2,3000,2336.832592,2336.832592,26.4,1659.182317,4700.065184,1
10665,BR,Ṣo Paulo,ZA,Johannesburg,12,Business Class Flight,Customer Visit,Yes,6000,M1068-M5369,Customer Support,3,3450,3055.657648,3055.657648,154.2,5701.287676,6265.515296,1
10666,BR,Ṣo Paulo,US,Miami,10,Economy Flight,Customer Visit,No,10000,M1068-M5373,Ecosystem,5,2700,931.1466752,931.1466752,80.5,2128.170949,1942.79335,0
10670,BR,Ṣo Paulo,US,Miami,10,Economy Flight,Customer Visit,No,6000,M1068-M5384,Value Engineering,3,2850,931.1466752,931.1466752,48.3,2246.402668,1910.59335,0
10671,BR,Ṣo Paulo,ZA,Johannesburg,10,Economy Flight,Conference/Exhibition,No,8000,M1068-M5390,Value Engineering,3,1800,1053.713528,1053.713528,154.2,2974.584874,2261.627056,0
10672,BR,Ṣo Paulo,JP,Tokyo,10,Economy Flight,Conference/Exhibition,No,7000,M1068-M5394,Operations,1,3150,2626.029215,2626.029215,39,2027.701404,5291.05843,1
10673,AU,Sydney,AU,Brisbane,15,Volkswagen Golf petrol,Conference/Exhibition,No,10000,M1068-M5394,Customer Support,3,1200,199.45926,199.5385392,105,309.6441944,503.9977992,0
10674,BR,Ṣo Paulo,ZA,Johannesburg,10,Economy Flight,Customer Visit,No,10000,M1068-M5395,Marketing,3,300,1053.713528,1053.713528,154.2,495.7641457,2261.627056,0
10675,CN,Beijing,RU,Moscow,12,Business Class Flight,Customer Visit,No,6000,M1068-M5398,Sales,1,3000,2380.449255,2380.449255,24.2,3779.329717,4785.09851,1
10676,CN,Beijing,AU,Sydney,12,Business Class Flight,Conference/Exhibition,No,8000,M1068-M5400,Ecosystem,3,3150,3682.349429,3682.349429,105,3783.701825,7469.698858,1
10677,BR,Ṣo Paulo,US,Miami,10,Economy Flight,Customer Visit,No,7000,M1068-M5402,Sales,5,900,931.1466752,931.1466752,80.5,709.3903162,1942.79335,0
10678,DE,Berlin,ES,Madrid,4,Train,Enablement,Yes,10000,M1068-M5403,Services,2,1500,65.47227364,37.22030521,14,361.7197883,116.6925789,0
10679,BR,Ṣo Paulo,AR,Buenos Aires,10,Economy Flight,Conference/Exhibition,No,10000,M1068-M5404,Services,1,3600,251.2322036,251.2322036,56,93.65506277,558.4644072,0
10681,CN,Beijing,RU,Moscow,12,Business Class Flight,Customer Visit,No,6000,M1068-M5409,Ecosystem,6,3000,2380.449255,2380.449255,145.2,3779.329717,4906.09851,1
10682,AU,Sydney,CN,Beijing,17,Fiat 500 electric,Conference/Exhibition,No,9000,M1068-M5411,Ecosystem,5,2400,2112.533047,2112.533047,267.5,2110.688496,4492.566094,1
10683,US,New York,CA,Toronto,13,BMW 3 diesel,Customer Visit,No,9000,M1068-M5413,Customer Support,5,3150,224.2481048,225.8215162,37,880.3602087,487.069621,0
10685,BR,Ṣo Paulo,ZA,Johannesburg,10,Economy Flight,Customer Visit,No,7000,M1068-M5414,Sales,3,1200,1053.713528,1053.713528,154.2,1983.056583,2261.627056,0
10686,AU,Sydney,DE,Frankfurt,10,Economy Flight,Enablement,No,7000,M1068-M5421,Sales,1,3150,2336.832592,2336.832592,13.2,1742.141433,4686.865184,1
10687,AU,Sydney,NZ,Auckland,10,Economy Flight,Customer Visit,No,6000,M1068-M5423,Sales,6,1500,320.0854747,320.0854747,62.4,1714.31977,702.5709494,0
10688,AU,Sydney,DE,Frankfurt,10,Economy Flight,Customer Visit,No,10000,M1068-M5424,Customer Support,1,2850,2336.832592,2336.832592,13.2,1576.223201,4686.865184,1
10689,AU,Sydney,DE,Frankfurt,10,Economy Flight,Enablement,No,10000,M1068-M5427,Services,4,2250,2336.832592,2336.832592,52.8,1244.386738,4726.465184,1
10690,BR,Ṣo Paulo,ZA,Johannesburg,10,Economy Flight,Conference/Exhibition,No,10000,M1068-M5427,Marketing,3,3300,1053.713528,1053.713528,154.2,5453.405603,2261.627056,0
