TripID,EmployeeNumber,TravelRequestID,ExpenseRequestID,ExpenseDenialReason,ExpenseReimbursementReason,ExpenseReimbursementAmount,ReasonForTransportCancellation,NewTransportSelection,ReasonForNewTransport,NewHotelSelection,ReasonForNewHotel,NewModeOfTransportation,TransportationPriceDifference,ReasonForTransportationChange,ReasonForDelay,ExtensionLength,DaysPreapproved,ProcessCode
25838,M1169-M5237,TR025838,,,,,,,,,,,,,,3,2,V18
25839,M1169-M5239,TR025839,EXP025839,Out of policy,Standard travel reimbursement,282.9,,,,,,,,,,,4,V13
25840,M1169-M5246,TR025840,EXP025840,,Partial reimbursement,483.93,,,,,,,,,,,0,V1
25841,M1169-M5249,TR025841,EXP025841,,Standard travel reimbursement,361.93,,,,New hotel chosen,Location preference,,,,,,4,V1
25842,M1169-M5252,TR025842,EXP025842,Late submission,Policy exception approved,229.91,,,,,,,,,,,1,V14
25843,M1169-M5253,TR025843,EXP025843,,Policy exception approved,206.82,,,,,,,,,,,2,V20
25844,M1169-M5261,TR025844,EXP025844,,Partial reimbursement,412.58,,,,,,,,,,,0,V1
25845,M1169-M5265,TR025845,EXP025845,,Standard travel reimbursement,220.34,,,,New hotel chosen,Hotel overbooked,,,,,,3,V1
25846,M1169-M5267,TR025846,EXP025846,Out of policy,Standard travel reimbursement,251.79,Personal emergency,,,,,,,,,,2,V12
25847,M1169-M5270,TR025847,EXP025847,,Policy exception approved,336.09,,,,,,,,,,4,3,V17
25848,M1169-M5273,TR025848,EXP025848,,Policy exception approved,562.1,,,,,,,,,,,3,V1
25849,M1169-M5274,TR025849,EXP025849,,Partial reimbursement,313.38,,,,,,,,,,,4,V1
25850,M1169-M5275,TR025850,EXP025850,,Standard travel reimbursement,491.82,,,,,,,,,,,4,V1
25851,M1169-M5281,TR025851,EXP025851,,Standard travel reimbursement,352.68,,,,,,Updated Economy Flight,-222.65,Time constraints,,2,2,V19
25852,M1169-M5286,TR025852,EXP025852,,Partial reimbursement,204.32,,,,,,,,,,2,1,V18
25853,M1169-M5288,TR025853,EXP025853,,Partial reimbursement,248.23,,Rebooked rental,Schedule conflict,Alternative hotel selected,Availability,,,,,,4,V10
25854,M1169-M5291,TR025854,EXP025854,,Partial reimbursement,514.96,,,,,,,,,,,2,V16
25855,M1169-M5292,TR025855,EXP025855,,Policy exception approved,270.09,,,,,,,,,,,3,V1
25856,M1169-M5296,TR025856,EXP025856,,Policy exception approved,490.58,,,,,,,,,,2,3,V17
25857,M1169-M5297,TR025857,EXP025857,,Standard travel reimbursement,156.61,,,,New hotel chosen,Quality issue,,,,,,4,V1
25859,M1169-M5306,TR025859,EXP025859,,Standard travel reimbursement,322.08,,,,,,,,,,,3,V13
25861,M1169-M5308,TR025861,EXP025861,,Policy exception approved,188.01,,,,,,,,,,,3,V1
25863,M1169-M5316,TR025863,EXP025863,,Standard travel reimbursement,205.33,,,,,,,,,,3,1,V18
25864,M1169-M5317,TR025864,EXP025864,,Policy exception approved,181.36,,,,,,,,,,3,2,V18
25867,M1169-M5328,TR025867,EXP025867,,Standard travel reimbursement,475.97,,,,,,,,,,,3,V1
25868,M1169-M5332,TR025868,EXP025868,Late submission,Policy exception approved,100.06,,,,,,Updated Business Class Flight,69.59,Time constraints,Security screening,,4,V1
25869,M1169-M5342,TR025869,EXP025869,,Standard travel reimbursement,287.23,,,,New hotel chosen,Hotel overbooked,,,,,,2,V22
25872,M1169-M5357,TR025872,EXP025872,,Policy exception approved,429.03,,Rebooked rental,Schedule conflict,,,,,,,,3,V23
25873,M1169-M5360,TR025873,EXP025873,,Standard travel reimbursement,450.33,,,,,,,,,,,4,V1
25874,M1169-M5362,TR025874,EXP025874,,Partial reimbursement,219.7,,,,New hotel chosen,Quality issue,,,,Mechanical issue,,1,V11
25875,M1169-M5366,TR025875,EXP025875,,Policy exception approved,549.24,,,,,,,,,Mechanical issue,3,2,V19
25876,M1169-M5369,TR025876,EXP025876,,Partial reimbursement,369.92,,,,,,,,,,,0,V1
25877,M1169-M5371,TR025877,EXP025877,,Policy exception approved,151.04,,,,,,,,,,,4,V1
25878,M1169-M5372,TR025878,EXP025878,,Policy exception approved,409.98,,,,,,,,,,,1,V1
25879,M1169-M5373,TR025879,EXP025879,,Standard travel reimbursement,486.14,,,,,,,,,,,4,V1
25880,M1169-M5376,TR025880,EXP025880,,Policy exception approved,222.8,,,,,,,,,Weather delay,3,3,V19
25881,M1169-M5376,TR025881,EXP025881,,Standard travel reimbursement,467.88,,,,,,,,,Weather delay,,2,V1
25882,M1169-M5381,TR025882,EXP025882,,Policy exception approved,195.19,,,,,,Updated Economy Flight,159.25,Client preference,Mechanical issue,,0,V13
25883,M1169-M5382,TR025883,EXP025883,,Standard travel reimbursement,136.39,,,,,,Updated Business Class Flight,0.94,Safety concern,,,0,V1
25884,M1169-M5382,TR025884,EXP025884,Late submission,Partial reimbursement,507.69,,,,,,,,,,,1,V1
25885,M1169-M5383,TR025885,EXP025885,,Partial reimbursement,149.32,,,,,,,,,,,4,V1
25886,M1169-M5387,TR025886,EXP025886,Personal expense,Standard travel reimbursement,523.97,,,,,,,,,,,2,V1
25888,M1169-M5393,TR025888,EXP025888,,Partial reimbursement,343.64,,,,,,Updated Volkswagen Golf diesel,170.18,Client preference,,,3,V1
25890,M1169-M5396,TR025890,EXP025890,,Standard travel reimbursement,451.51,,,,,,,,,,,3,V21
25891,M1169-M5397,TR025891,EXP025891,Personal expense,Standard travel reimbursement,271.95,,,,,,,,,,,2,V1
25892,M1169-M5398,TR025892,EXP025892,Out of policy,Standard travel reimbursement,334.6,,,,New hotel chosen,Rate change,,,,,,3,V6
25893,M1169-M5401,TR025893,EXP025893,Out of policy,Policy exception approved,104.17,,,,,,,,,,,4,V1
25894,M1169-M5401,TR025894,EXP025894,,Standard travel reimbursement,310.75,,,,,,,,,,,0,V1
25897,M1169-M5407,TR025897,EXP025897,,Partial reimbursement,207.5,,,,,,,,,,,2,V1
25898,M1169-M5407,TR025898,EXP025898,,Standard travel reimbursement,259.8,,,,,,,,,,,3,V1
25899,M1169-M5409,TR025899,EXP025899,,Standard travel reimbursement,391.5,,,,,,,,,,,0,V1
25900,M1169-M5413,TR025900,EXP025900,,Partial reimbursement,424.52,,,,,,,,,,,4,V1
25901,M1169-M5418,TR025901,EXP025901,,Policy exception approved,412.62,,Rebooked flight,Better schedule,,,,,,,,3,V23
25902,M1169-M5418,TR025902,EXP025902,,Standard travel reimbursement,168.57,,,,,,,,,,,0,V13
25903,M1169-M5418,TR025903,EXP025903,,Partial reimbursement,271.86,Airline schedule change,,,,,,,,,,3,V12
25904,M1169-M5419,TR025904,EXP025904,,Standard travel reimbursement,482.12,,,,,,,,,,,1,V1
25905,M1169-M5421,TR025905,EXP025905,,Policy exception approved,421.5,,,,,,,,,,,4,V25
25907,M1169-M5441,TR025907,EXP025907,,Policy exception approved,394.22,,,,,,,,,,,4,V1
25908,M1169-M5449,TR025908,EXP025908,,Policy exception approved,319.47,,Rebooked flight,Route change,,,,,,,,3,V23
25909,M1169-M5451,TR025909,EXP025909,,Policy exception approved,226.22,Personal emergency,,,,,,,,,,4,V12
25910,M1169-M5451,TR025910,EXP025910,Missing receipt,Standard travel reimbursement,561.04,,Rebooked flight,Route change,,,Updated First Class Flight,182.06,Safety concern,,,2,V15
25911,M1169-M5455,TR025911,EXP025911,,Standard travel reimbursement,388.63,,,,,,,,,,,1,V2
25912,M1169-M5457,TR025912,EXP025912,,Partial reimbursement,390.38,,,,,,,,,,,3,V1
25913,M1169-M5457,TR025913,EXP025913,,Policy exception approved,227.51,,Rebooked flight,Schedule conflict,,,Updated First Class Flight,239.69,Safety concern,,,1,V27
25916,M1169-M5460,TR025916,EXP025916,,Partial reimbursement,438.47,Weather disruption,,,New hotel chosen,Rate change,,,,,,2,V1
25917,M1169-M5461,TR025917,EXP025917,,Standard travel reimbursement,181.38,,,,,,,,,,,0,V13
25918,M1169-M5461,TR025918,EXP025918,,Standard travel reimbursement,146.44,,,,,,Updated First Class Flight,35.34,Cost optimization,,,0,V1
25919,M1169-M5465,TR025919,EXP025919,,Policy exception approved,336.19,,,,,,,,,,2,3,V18
25921,M1169-M5468,TR025921,EXP025921,,Partial reimbursement,387.02,,,,,,,,,,,0,V1
25923,M1169-M5482,TR025923,EXP025923,,Standard travel reimbursement,473.34,,,,,,,,,Security screening,,1,V1
25925,M1169-M5484,TR025925,EXP025925,,Partial reimbursement,155.79,,,,,,Updated Economy Flight,38.78,Cost optimization,,4,3,V17
25928,M1169-M5492,TR025928,EXP025928,,Policy exception approved,575.72,,,,,,,,,,,1,V1
25929,M1169-M5493,TR025929,EXP025929,,Partial reimbursement,411.25,,,,,,,,,,,2,V1
25930,M1169-M5496,TR025930,EXP025930,,Policy exception approved,249.62,,,,,,,,,,,4,V1
25931,M1169-M5496,TR025931,EXP025931,,Standard travel reimbursement,479.83,,,,,,,,,,,4,V1
25932,M1169-M5498,TR025932,EXP025932,Out of policy,Partial reimbursement,573.48,,,,,,,,,,,0,V1
25933,M1169-M5503,TR025933,EXP025933,,Standard travel reimbursement,475.77,,,,,,,,,,,4,V1
25934,M1169-M5504,TR025934,EXP025934,,Standard travel reimbursement,474.51,,Rebooked flight,Schedule conflict,New hotel chosen,Location preference,,,,,,1,V23
25935,M1169-M5505,TR025935,EXP025935,Out of policy,Policy exception approved,338.54,,,,,,,,,,,4,V1
25936,M1169-M5507,TR025936,EXP025936,,Partial reimbursement,383.54,,,,,,Updated Economy Flight,115.5,Client preference,,,1,V1
25937,M1169-M5508,TR025937,EXP025937,,Standard travel reimbursement,151.65,,Rebooked flight,Schedule conflict,Alternative hotel selected,Location preference,,,,Weather delay,,4,V10
25940,M1169-M5510,TR025940,EXP025940,Personal expense,Partial reimbursement,315.22,,,,,,,,,Airport congestion,,1,V1
25941,M1169-M5510,TR025941,EXP025941,,Policy exception approved,269.25,,,,,,,,,Weather delay,,3,V14
25942,M1169-M5512,TR025942,EXP025942,,Policy exception approved,493.19,,,,,,,,,,2,3,V17
25946,M1169-M5535,TR025946,EXP025946,,Policy exception approved,364.65,,,,,,,,,,,3,V1
25947,M1169-M5554,TR025947,EXP025947,,Standard travel reimbursement,194.9,,,,,,,,,,,2,V1
25948,M1170-M5006,TR025948,EXP025948,,Policy exception approved,487.1,,,,,,,,,Airport congestion,,3,V21
25949,M1170-M5007,TR025949,EXP025949,,Standard travel reimbursement,468.5,,,,,,,,,,,3,V1
25950,M1170-M5008,TR025950,EXP025950,,Standard travel reimbursement,461.53,,,,,,Updated BMW 3 diesel,220.9,Client preference,,,1,V1
25951,M1170-M5018,TR025951,EXP025951,,Partial reimbursement,509.88,,,,,,,,,,2,4,V17
25952,M1170-M5022,TR025952,EXP025952,,Policy exception approved,327.11,,Rebooked rental,Route change,,,,,,,,0,V23
25953,M1170-M5023,TR025953,EXP025953,,Policy exception approved,418.83,,,,New hotel chosen,Location preference,,,,,,0,V1
25955,M1170-M5036,TR025955,EXP025955,Out of policy,Partial reimbursement,103.62,,,,New hotel chosen,Hotel overbooked,,,,,,0,V1
25956,M1170-M5045,TR025956,EXP025956,,Partial reimbursement,444.9,,,,,,Updated Train,223.72,Client preference,Track maintenance,,4,V28
25957,M1170-M5049,TR025957,EXP025957,,Policy exception approved,235.41,,,,,,,,,,,3,V1
25958,M1170-M5052,TR025958,EXP025958,,Policy exception approved,392.54,,,,,,,,,Security screening,,3,V1
25960,M1170-M5066,TR025960,EXP025960,,Standard travel reimbursement,340,,,,,,Updated First Class Flight,-141.72,Client preference,,,3,V1
25961,M1170-M5066,TR025961,EXP025961,,Policy exception approved,541.24,,,,,,,,,,2,1,V18
25962,M1170-M5069,TR025962,EXP025962,,Standard travel reimbursement,375.98,,,,,,,,,,,4,V1
25963,M1170-M5072,TR025963,EXP025963,,Policy exception approved,409.22,,,,,,,,,,,0,V1
25964,M1170-M5073,TR025964,EXP025964,Personal expense,Standard travel reimbursement,286.83,,,,,,,,,,,2,V1
25965,M1170-M5074,TR025965,EXP025965,,Partial reimbursement,171.95,,,,,,Updated Economy Flight,56.85,Client preference,,,2,V1
25966,M1170-M5082,TR025966,EXP025966,,Partial reimbursement,344.42,,,,New hotel chosen,Rate change,,,,,,1,V26
25967,M1170-M5085,TR025967,EXP025967,,Partial reimbursement,290.36,,,,,,,,,,,4,V21
25973,M1170-M5123,TR025973,EXP025973,,Partial reimbursement,116.04,,,,,,,,,,,3,V1
25974,M1170-M5126,TR025974,EXP025974,,Policy exception approved,577.01,,,,New hotel chosen,Quality issue,,,,,,1,V22
25976,M1170-M5132,TR025976,EXP025976,,Policy exception approved,307.17,,,,,,,,,,,2,V1
25978,M1170-M5135,TR025978,EXP025978,,Policy exception approved,223.8,,,,,,,,,,,0,V14
25980,M1170-M5136,TR025980,EXP025980,Out of policy,Standard travel reimbursement,181.64,,,,,,,,,Security screening,,4,V1
25981,M1170-M5151,TR025981,EXP025981,,Partial reimbursement,388.99,,,,New hotel chosen,Rate change,,,,,,3,V1
25982,M1170-M5155,TR025982,EXP025982,,Partial reimbursement,265.1,,,,,,,,,,,4,V1
25983,M1170-M5155,TR025983,EXP025983,,Policy exception approved,240.99,,,,,,,,,Weather delay,,0,V1
25984,M1170-M5159,TR025984,EXP025984,,Standard travel reimbursement,409.71,,,,,,,,,,,1,V14
25985,M1170-M5159,TR025985,EXP025985,Out of policy,Policy exception approved,468.56,,,,,,,,,,,0,V14
25986,M1170-M5164,TR025986,EXP025986,,Partial reimbursement,243.81,,,,,,,,,,3,1,V17
25987,M1170-M5169,TR025987,EXP025987,,Standard travel reimbursement,420.08,,,,,,,,,,3,4,V18
25989,M1170-M5178,TR025989,EXP025989,Missing receipt,Partial reimbursement,289.19,,,,,,,,,,,3,V26
25991,M1170-M5191,TR025991,EXP025991,,Standard travel reimbursement,330.31,,,,New hotel chosen,Location preference,,,,,,4,V25
25992,M1170-M5199,TR025992,EXP025992,,Partial reimbursement,244.57,,,,,,,,,,,0,V1
25993,M1170-M5201,TR025993,EXP025993,,Partial reimbursement,441.23,Personal emergency,Rebooked flight,Cheaper fare,,,,,,,,3,V21
25994,M1170-M5220,TR025994,EXP025994,Personal expense,Partial reimbursement,231.5,,,,,,,,,,,2,V13
25996,M1170-M5228,TR025996,EXP025996,,Standard travel reimbursement,145.79,,,,,,,,,,4,3,V17
25998,M1170-M5232,TR025998,EXP025998,,Partial reimbursement,488.98,,Rebooked flight,Route change,Alternative hotel selected,Availability,,,,Mechanical issue,,4,V7
25999,M1170-M5241,TR025999,EXP025999,,Partial reimbursement,252.36,,,,,,,,,,,0,V1
26000,M1170-M5245,TR026000,EXP026000,,Policy exception approved,537.87,,,,,,,,,,,2,V1
26001,M1170-M5249,TR026001,EXP026001,,Standard travel reimbursement,156.97,,,,,,Updated Volkswagen Golf diesel,62.89,Cost optimization,,,1,V1
26002,M1170-M5249,TR026002,EXP026002,,Partial reimbursement,493.45,,,,New hotel chosen,Quality issue,,,,,,2,V1
26003,M1170-M5253,TR026003,EXP026003,,Policy exception approved,345.49,,,,,,,,,,,2,V1
26005,M1170-M5269,TR026005,EXP026005,,Policy exception approved,443.61,,,,,,Updated Economy Flight,93.45,Cost optimization,,,4,V20
26006,M1170-M5270,TR026006,EXP026006,,Standard travel reimbursement,342.45,,,,,,,,,,,2,V1
26008,M1170-M5274,TR026008,EXP026008,,Policy exception approved,535.61,Operational issue,Rebooked flight,Better schedule,,,,,,,3,2,V17
26009,M1170-M5276,TR026009,EXP026009,,Standard travel reimbursement,172.48,,,,,,,,,Airport congestion,,2,V1
26010,M1170-M5288,TR026010,EXP026010,,Partial reimbursement,106.69,,,,,,Updated Business Class Flight,214.45,Client preference,,,1,V1
26012,M1170-M5296,TR026012,EXP026012,,Standard travel reimbursement,235.23,,,,,,,,,,,2,V1
26013,M1170-M5298,TR026013,EXP026013,Out of policy,Partial reimbursement,311.13,,,,,,,,,,,4,V1
26014,M1170-M5304,TR026014,EXP026014,,Policy exception approved,257.67,,,,,,,,,,,2,V32
26015,M1170-M5307,TR026015,EXP026015,,Standard travel reimbursement,229.26,,,,New hotel chosen,Location preference,,,,,3,2,V17
26016,M1170-M5307,TR026016,EXP026016,,Standard travel reimbursement,470.92,,,,,,,,,,,4,V1
26017,M1170-M5310,TR026017,EXP026017,,Policy exception approved,442.17,,,,,,,,,,1,4,V18
26018,M1170-M5311,TR026018,EXP026018,,Partial reimbursement,517.82,,,,,,,,,Airport congestion,,4,V1
26022,M1170-M5326,TR026022,EXP026022,,Policy exception approved,252.64,,,,,,,,,Security screening,,1,V22
26023,M1170-M5331,TR026023,EXP026023,Personal expense,Policy exception approved,482.27,,,,,,Updated Business Class Flight,39.32,Safety concern,,,4,V1
26025,M1170-M5336,TR026025,EXP026025,,Standard travel reimbursement,184.7,Personal emergency,,,,,,,,,,3,V13
26026,M1170-M5338,TR026026,EXP026026,Out of policy,Partial reimbursement,554.98,,,,,,,,,,,0,V1
26027,M1170-M5338,TR026027,EXP026027,Out of policy,Standard travel reimbursement,503.79,,,,,,,,,,,0,V1
26028,M1170-M5342,TR026028,EXP026028,,Standard travel reimbursement,537.09,Operational issue,,,New hotel chosen,Quality issue,,,,,,3,V20
26029,M1170-M5344,TR026029,EXP026029,Missing receipt,Partial reimbursement,442.32,,,,,,,,,,,4,V1
26030,M1170-M5348,TR026030,EXP026030,Personal expense,Policy exception approved,242.35,,,,,,,,,,,0,V1
26031,M1170-M5349,TR026031,EXP026031,,Policy exception approved,130.59,,,,,,,,,Security screening,,4,V14
26034,M1170-M5358,TR026034,EXP026034,,Standard travel reimbursement,176.78,,Rebooked flight,Route change,,,,,,,,3,V23
26036,M1170-M5365,TR026036,EXP026036,,Standard travel reimbursement,508.27,,,,,,,,,,,3,V1
26038,M1170-M5373,TR026038,EXP026038,Late submission,Policy exception approved,471.47,,,,,,,,,Security screening,,3,V21
26040,M1170-M5387,TR026040,EXP026040,Late submission,Partial reimbursement,504.41,,,,,,,,,,,3,V25
26041,M1170-M5399,TR026041,EXP026041,,Standard travel reimbursement,386.34,,,,,,,,,,,1,V1
26043,M1170-M5404,TR026043,EXP026043,,Standard travel reimbursement,138.42,,,,,,,,,,,4,V14
26044,M1170-M5404,TR026044,EXP026044,Out of policy,Standard travel reimbursement,306.46,,,,,,,,,,,2,V1
26045,M1170-M5407,TR026045,EXP026045,,Policy exception approved,138.96,,,,,,,,,,,4,V16
26046,M1170-M5412,TR026046,EXP026046,,Policy exception approved,382.48,,,,,,,,,,,2,V1
26047,M1170-M5417,TR026047,EXP026047,,Standard travel reimbursement,181.81,,,,,,Updated Economy Flight,40.01,Client preference,,,2,V1
26049,M1170-M5420,TR026049,EXP026049,,Policy exception approved,418.54,,Rebooked flight,Schedule conflict,,,Updated Economy Flight,263.87,Client preference,,,2,V27
26050,M1170-M5428,TR026050,EXP026050,Missing receipt,Policy exception approved,526.74,,Rebooked flight,Schedule conflict,,,,,,,,0,V23
26051,M1170-M5436,TR026051,EXP026051,,Standard travel reimbursement,446.9,,,,,,,,,,,3,V1
26053,M1170-M5443,TR026053,EXP026053,,Policy exception approved,454.32,,,,,,,,,,,0,V1
26055,M1170-M5445,TR026055,EXP026055,,Partial reimbursement,435.82,,,,,,,,,,,0,V1
26057,M1170-M5451,TR026057,EXP026057,,Policy exception approved,572.79,,,,,,,,,,,1,V20
26058,M1170-M5452,TR026058,EXP026058,Personal expense,Standard travel reimbursement,191.21,,,,,,,,,,,0,V1
26060,M1170-M5458,TR026060,EXP026060,,Policy exception approved,296.82,,,,,,,,,Mechanical issue,,2,V16
26062,M1170-M5471,TR026062,EXP026062,Missing receipt,Partial reimbursement,418.45,,,,New hotel chosen,Location preference,,,,,,0,V1
26063,M1170-M5478,TR026063,EXP026063,,Policy exception approved,317.75,,,,New hotel chosen,Rate change,,,,,,0,V14
26066,M1170-M5492,TR026066,EXP026066,,Policy exception approved,506.53,,Rebooked flight,Cheaper fare,,,Updated Business Class Flight,192.58,Client preference,,,2,V27
26067,M1170-M5494,TR026067,EXP026067,,Partial reimbursement,386.62,,,,,,,,,,,4,V1
26068,M1170-M5496,TR026068,EXP026068,,Partial reimbursement,127.55,,,,New hotel chosen,Location preference,,,,,2,1,V18
26069,M1170-M5497,TR026069,EXP026069,,Standard travel reimbursement,458.38,,,,,,,,,,4,2,V19
26070,M1170-M5497,TR026070,EXP026070,,Partial reimbursement,385.44,,Rebooked flight,Schedule conflict,New hotel chosen,Rate change,,,,,,2,V9
26072,M1170-M5506,TR026072,EXP026072,,Partial reimbursement,362.09,,,,New hotel chosen,Rate change,,,,,,1,V1
26074,M1170-M5510,TR026074,EXP026074,,Policy exception approved,354.88,,,,,,,,,,,0,V1
26079,M1170-M5528,TR026079,EXP026079,Late submission,Standard travel reimbursement,411.38,,,,,,,,,,,3,V22
26080,M1170-M5536,TR026080,EXP026080,,Partial reimbursement,420.39,,,,,,,,,,,1,V1
26081,M1170-M5541,TR026081,EXP026081,,Policy exception approved,152.06,,,,,,,,,,4,2,V18
26082,M1170-M5545,TR026082,EXP026082,,Partial reimbursement,415.01,,,,,,,,,,,2,V20
26083,M1170-M5545,TR026083,EXP026083,Missing receipt,Standard travel reimbursement,193.9,,Rebooked rental,Better schedule,,,Updated Volkswagen Golf diesel,269.15,Safety concern,,,3,V9
26084,M1170-M5549,TR026084,EXP026084,,Partial reimbursement,206.03,,,,,,,,,,,4,V1
26085,M1170-M5555,TR026085,EXP026085,,Policy exception approved,314.84,,Rebooked flight,Better schedule,,,,,,,,1,V30
26086,M1171-M5001,TR026086,EXP026086,,Standard travel reimbursement,130.54,,,,,,,,,,4,2,V19
26087,M1171-M5003,TR026087,EXP026087,,Standard travel reimbursement,144.75,,,,,,,,,Airport congestion,,2,V11
26088,M1171-M5013,TR026088,EXP026088,Missing receipt,Partial reimbursement,109.71,,,,,,Updated Business Class Flight,236.91,Safety concern,,,3,V1
26089,M1171-M5017,TR026089,EXP026089,,Policy exception approved,272.07,,,,,,,,,,,3,V1
26090,M1171-M5018,TR026090,EXP026090,,Partial reimbursement,406.76,,,,,,,,,,,0,V25
26093,M1171-M5028,TR026093,EXP026093,Late submission,Partial reimbursement,124.83,,,,,,,,,,,2,V1
26094,M1171-M5034,TR026094,EXP026094,,Policy exception approved,414.78,,,,,,,,,,,2,V1
26095,M1171-M5034,TR026095,EXP026095,,Standard travel reimbursement,397.75,,Rebooked flight,Better schedule,Alternative hotel selected,Rate change,,,,,,4,V5
26096,M1171-M5038,TR026096,EXP026096,,Standard travel reimbursement,180.39,,,,,,,,,,,3,V1
26097,M1171-M5052,TR026097,EXP026097,,Standard travel reimbursement,591.78,,Rebooked rental,Cheaper fare,,,,,,,,4,V23
26098,M1171-M5056,TR026098,EXP026098,Personal expense,Policy exception approved,367.49,,,,,,,,,,,2,V21
26099,M1171-M5058,TR026099,EXP026099,,Standard travel reimbursement,291.23,,,,,,,,,,,1,V22
26101,M1171-M5066,TR026101,EXP026101,,Policy exception approved,375.05,,,,,,,,,,,4,V1
26102,M1171-M5068,TR026102,EXP026102,,Policy exception approved,193.74,,Rebooked train,Schedule conflict,,,,,,,,2,V23
26103,M1171-M5069,TR026103,EXP026103,Late submission,Partial reimbursement,192.98,,Rebooked flight,Cheaper fare,Alternative hotel selected,Quality issue,,,,,,4,V24
26105,M1171-M5073,TR026105,EXP026105,,Policy exception approved,314.39,,Rebooked flight,Cheaper fare,Alternative hotel selected,Availability,,,,,,2,V10
26106,M1171-M5076,TR026106,EXP026106,,Standard travel reimbursement,202.58,,,,,,,,,,,0,V1
26108,M1171-M5084,TR026108,EXP026108,,Policy exception approved,314.8,,,,,,,,,,,0,V1
26109,M1171-M5092,TR026109,EXP026109,,Standard travel reimbursement,258.87,,,,,,,,,,,1,V14
26110,M1171-M5093,TR026110,EXP026110,,Partial reimbursement,401.31,,,,,,,,,,,4,V1
26111,M1171-M5097,TR026111,EXP026111,,Policy exception approved,182.15,,,,,,,,,,,4,V1
26112,M1171-M5097,TR026112,EXP026112,,Standard travel reimbursement,323.18,Operational issue,,,,,,,,,,1,V12
26113,M1171-M5098,TR026113,EXP026113,,Standard travel reimbursement,146.96,,Rebooked flight,Cheaper fare,,,,,,,,3,V9
26115,M1171-M5103,TR026115,EXP026115,Exceeded limit,Standard travel reimbursement,151.15,,,,,,,,,,,1,V31
26116,M1171-M5103,TR026116,EXP026116,,Partial reimbursement,302.6,,Rebooked flight,Cheaper fare,New hotel chosen,Location preference,,,,,,3,V10
26118,M1171-M5110,TR026118,EXP026118,,Policy exception approved,420.38,,,,,,,,,,,1,V1
26120,M1171-M5114,TR026120,EXP026120,,Standard travel reimbursement,448.04,,,,,,,,,Security screening,,1,V22
26122,M1171-M5118,TR026122,EXP026122,,Standard travel reimbursement,372.41,,,,,,Updated Volkswagen Golf petrol,15.79,Safety concern,,,1,V1
26123,M1171-M5121,TR026123,EXP026123,Late submission,Standard travel reimbursement,234.6,,,,New hotel chosen,Quality issue,,,,,,4,V25
26124,M1171-M5123,TR026124,EXP026124,,Standard travel reimbursement,378.6,,,,,,Updated Train,-37.17,Safety concern,,,1,V1
26125,M1171-M5125,TR026125,EXP026125,,Partial reimbursement,443.51,,,,New hotel chosen,Quality issue,,,,,,2,V22
26126,M1171-M5128,TR026126,EXP026126,,Policy exception approved,326.4,,,,,,,,,,,4,V20
26129,M1171-M5135,TR026129,EXP026129,,Policy exception approved,470.41,,Rebooked rental,Schedule conflict,Alternative hotel selected,Location preference,,,,,,1,V24
26130,M1171-M5136,TR026130,EXP026130,,Partial reimbursement,450.83,,,,,,,,,Airport congestion,,2,V28
26135,M1171-M5146,TR026135,EXP026135,,Policy exception approved,252.07,Vehicle issue,,,,,,,,,,0,V12
26136,M1171-M5153,TR026136,EXP026136,,Policy exception approved,264.13,,,,,,,,,,,1,V1
26138,M1171-M5158,TR026138,EXP026138,,Standard travel reimbursement,243.13,,,,,,,,,,,4,V1
26139,M1171-M5159,TR026139,EXP026139,,Standard travel reimbursement,436.57,,,,,,,,,,,4,V1
26142,M1171-M5168,TR026142,EXP026142,Out of policy,Partial reimbursement,463.56,,Rebooked rental,Route change,,,Updated Fiat 500 electric,139.82,Cost optimization,,,2,V27
26143,M1171-M5169,TR026143,EXP026143,Personal expense,Policy exception approved,216.41,,,,,,,,,,,2,V1
26144,M1171-M5172,TR026144,EXP026144,,Policy exception approved,365.38,,,,,,,,,,,3,V1
26145,M1171-M5172,TR026145,EXP026145,,Standard travel reimbursement,227.48,,,,,,,,,,4,2,V18
26146,M1171-M5175,TR026146,EXP026146,Late submission,Policy exception approved,175.35,,,,,,,,,,,2,V1
26147,M1171-M5176,TR026147,EXP026147,,Standard travel reimbursement,400.74,,,,New hotel chosen,Quality issue,,,,,,3,V1
26148,M1171-M5180,TR026148,EXP026148,,Policy exception approved,427.36,,,,New hotel chosen,Rate change,Updated Business Class Flight,125.72,Client preference,,,4,V1
26149,M1171-M5181,TR026149,EXP026149,Personal expense,Partial reimbursement,346.79,,Rebooked flight,Better schedule,,,,,,,,1,V4
26150,M1171-M5182,TR026150,EXP026150,,Standard travel reimbursement,291.28,,,,,,,,,,,3,V1
26151,M1171-M5183,TR026151,EXP026151,,Standard travel reimbursement,325.42,,,,,,Updated Economy Flight,-158.85,Cost optimization,,,3,V1
26152,M1171-M5184,TR026152,EXP026152,Missing receipt,Policy exception approved,270.96,,,,,,,,,,,2,V1
26153,M1171-M5184,TR026153,EXP026153,,Policy exception approved,155.89,,Rebooked flight,Route change,Alternative hotel selected,Rate change,,,,,,4,V10
26155,M1171-M5186,TR026155,EXP026155,,Standard travel reimbursement,449.85,,,,,,,,,,,0,V1
26159,M1171-M5191,TR026159,EXP026159,,Partial reimbursement,140.58,,,,,,,,,,,2,V1
